ID,accuracy,pca,roc_auc,ticker,train_time
1560680431.175983,0.8517006791367823,,0.9175325157933854,GOOGL,17.82364296913147
1560680431.175983,0.8489795907014082,,0.9132367149758455,GOOGL,17.51761245727539
1560680431.175983,0.8544217675721564,,0.9191378669639538,GOOGL,23.65847134590149
1560680497.4947114,0.8476190464026263,0.999,0.911869193608324,GOOGL,13.377991437911987
1560680497.4947114,0.8421768708293941,0.999,0.9137272389446303,GOOGL,12.09816575050354
1560680497.4947114,0.83945578239402,0.999,0.911601635079896,GOOGL,11.629786014556885
1560680540.9049928,0.7755102031084956,0.99,0.8603716090672612,GOOGL,9.876645803451538
1560680540.9049928,0.7850340125512104,0.99,0.8712671869193608,GOOGL,11.7227463722229
1560680540.9049928,0.7782312915438697,0.99,0.8630917874396136,GOOGL,14.372999906539917
1560680583.264487,0.6897959185295365,0.97,0.7583128948346338,GOOGL,12.050981998443604
1560680583.264487,0.6911564627472235,0.97,0.7571683389074694,GOOGL,12.576987981796265
1560680583.264487,0.6911564615308022,0.97,0.7637309550353029,GOOGL,12.619052171707153
1560680626.8329158,0.6952380940216739,0.95,0.7364325529542921,GOOGL,25.41205859184265
1560680626.8329158,0.6925170055862998,0.95,0.7369751021924935,GOOGL,17.34926724433899
1560680626.8329158,0.6993197266747352,0.95,0.7387365291713119,GOOGL,18.867999792099
1560680694.904278,0.6539509541657056,0.9,0.6980843768634466,GOOGL,14.166526794433594
1560680694.904278,0.6648501364021925,0.9,0.7155038759689922,GOOGL,14.639967203140259
1560680694.904278,0.651226158362968,0.9,0.7060971973762671,GOOGL,20.283252716064453
1560680750.3570998,0.618528609866992,0.8,0.6434183064997019,GOOGL,18.345085620880127
1560680750.3570998,0.6185286097045816,0.8,0.6440295169946332,GOOGL,20.12866759300232
1560680750.3570998,0.6158038140642546,0.8,0.6440444245676804,GOOGL,19.319441556930542
